Epoch [1/300]: loss = 1.03, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.5668
Epoch [2/300]: loss = 0.8495, threshold = 0.45, recall = 0.9545, precision = 0.5006, f1 = 0.6568, accuracy = 0.5122, auc = 0.6339
Epoch [3/300]: loss = 0.7833, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6038
Epoch [4/300]: loss = 0.7341, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.5761
Epoch [5/300]: loss = 0.6897, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6115
Epoch [6/300]: loss = 0.6397, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6027
Epoch [7/300]: loss = 0.6072, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.5961
Epoch [8/300]: loss = 0.5666, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6259
Epoch [9/300]: loss = 0.5381, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6058
Epoch [10/300]: loss = 0.508, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6164
Epoch [11/300]: loss = 0.4847, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.5954
Epoch [12/300]: loss = 0.4452, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.624
Epoch [13/300]: loss = 0.4156, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6211
Epoch [14/300]: loss = 0.3794, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6303
Epoch [15/300]: loss = 0.3666, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6292
Epoch [16/300]: loss = 0.346, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6264
Epoch [17/300]: loss = 0.3276, threshold = 0.05, recall = 1.0, precision = 0.4889, f1 = 0.6567, accuracy = 0.4889, auc = 0.6064
[BEST] recall = 0.9545, precision = 0.5006, f1 = 0.6568, accuracy =0.5122, auc = 0.6339
