Epoch [1/300]: loss = 4.3667, recall = 0.8235, precision = 0.507, f1 = 0.6276, accuracy = 0.52, auc = 0.5253
Epoch [2/300]: loss = 4.4475, recall = 0.8235, precision = 0.5056, f1 = 0.6265, accuracy = 0.5178, auc = 0.5231
Epoch [3/300]: loss = 4.3498, recall = 0.0045, precision = 0.6667, f1 = 0.009, accuracy = 0.51, auc = 0.5012
Epoch [4/300]: loss = 4.3864, recall = 0.2919, precision = 0.5513, f1 = 0.3817, accuracy = 0.5356, auc = 0.5313
Epoch [5/300]: loss = 4.3651, recall = 0.2896, precision = 0.5541, f1 = 0.3804, accuracy = 0.5367, auc = 0.5324
Epoch [6/300]: loss = 4.365, recall = 0.2896, precision = 0.5541, f1 = 0.3804, accuracy = 0.5367, auc = 0.5324
Epoch [7/300]: loss = 4.365, recall = 0.2896, precision = 0.5541, f1 = 0.3804, accuracy = 0.5367, auc = 0.5324
Epoch [8/300]: loss = 4.365, recall = 0.2896, precision = 0.5541, f1 = 0.3804, accuracy = 0.5367, auc = 0.5324
Epoch [9/300]: loss = 4.365, recall = 0.2896, precision = 0.5541, f1 = 0.3804, accuracy = 0.5367, auc = 0.5324
Epoch [10/300]: loss = 4.365, recall = 0.2896, precision = 0.5541, f1 = 0.3804, accuracy = 0.5367, auc = 0.5324
Epoch [11/300]: loss = 4.365, recall = 0.2896, precision = 0.5541, f1 = 0.3804, accuracy = 0.5367, auc = 0.5324
[BEST] recall = 0.8235, precision = 0.507, f1 = 0.6276, accuracy =0.52, auc = 0.5253
