Epoch [1/300]: loss = 48.7103, recall = 0.0, precision = 0.0, f1 = 0.0, accuracy = 0.5089, auc = 0.5
Epoch [2/300]: loss = 47.3632, recall = 0.0, precision = 0.0, f1 = 0.0, accuracy = 0.5089, auc = 0.5
Epoch [3/300]: loss = 47.1765, recall = 0.0, precision = 0.0, f1 = 0.0, accuracy = 0.5089, auc = 0.5
Epoch [4/300]: loss = 47.1692, recall = 0.0, precision = 0.0, f1 = 0.0, accuracy = 0.5089, auc = 0.5
Epoch [5/300]: loss = 47.1688, recall = 0.0, precision = 0.0, f1 = 0.0, accuracy = 0.5089, auc = 0.5
Epoch [6/300]: loss = 47.1687, recall = 0.0, precision = 0.0, f1 = 0.0, accuracy = 0.5089, auc = 0.5
Epoch [7/300]: loss = 47.1687, recall = 0.0, precision = 0.0, f1 = 0.0, accuracy = 0.5089, auc = 0.5
Epoch [8/300]: loss = 47.1687, recall = 0.0, precision = 0.0, f1 = 0.0, accuracy = 0.5089, auc = 0.5
Epoch [9/300]: loss = 47.1687, recall = 0.0, precision = 0.0, f1 = 0.0, accuracy = 0.5089, auc = 0.5
Epoch [10/300]: loss = 47.1687, recall = 0.0, precision = 0.0, f1 = 0.0, accuracy = 0.5089, auc = 0.5
[BEST] recall = 0, precision = 0, f1 = 0, accuracy =0, auc = 0
