Epoch [1/300]: loss = 3.2576, recall = 0.9977, precision = 0.4911, f1 = 0.6582, accuracy = 0.4911, auc = 0.5
Epoch [2/300]: loss = 3.5034, recall = 0.9887, precision = 0.4888, f1 = 0.6542, accuracy = 0.4867, auc = 0.4954
Epoch [3/300]: loss = 3.5075, recall = 0.9887, precision = 0.4888, f1 = 0.6542, accuracy = 0.4867, auc = 0.4954
Epoch [4/300]: loss = 3.5075, recall = 0.9887, precision = 0.4888, f1 = 0.6542, accuracy = 0.4867, auc = 0.4954
Epoch [5/300]: loss = 3.5075, recall = 0.9887, precision = 0.4888, f1 = 0.6542, accuracy = 0.4867, auc = 0.4954
Epoch [6/300]: loss = 3.5075, recall = 0.9887, precision = 0.4888, f1 = 0.6542, accuracy = 0.4867, auc = 0.4954
Epoch [7/300]: loss = 3.5075, recall = 0.9887, precision = 0.4888, f1 = 0.6542, accuracy = 0.4867, auc = 0.4954
Epoch [8/300]: loss = 3.5075, recall = 0.9887, precision = 0.4888, f1 = 0.6542, accuracy = 0.4867, auc = 0.4954
Epoch [9/300]: loss = 3.5075, recall = 0.9887, precision = 0.4888, f1 = 0.6542, accuracy = 0.4867, auc = 0.4954
Epoch [10/300]: loss = 3.5075, recall = 0.9887, precision = 0.4888, f1 = 0.6542, accuracy = 0.4867, auc = 0.4954
Epoch [11/300]: loss = 3.5075, recall = 0.9887, precision = 0.4888, f1 = 0.6542, accuracy = 0.4867, auc = 0.4954
[BEST] recall = 0.9977, precision = 0.4911, f1 = 0.6582, accuracy =0.4911, auc = 0.5
